"","phase","objFun","maxGrad","nPar","convCode","convMsg","time","pdHess"
"1","1",46002.6462024553,0.0955822948386356,4,0,"relative convergence (4)",0.0958666666666667,FALSE
"2","2",45993.0577451412,0.0128741876060152,14,0,"relative convergence (4)",0.0764166666666667,FALSE
"3","3",45993.0577451361,0.00543657769597905,14,0,"relative convergence (4)",0.0665999999999999,FALSE
"4","4",45965.2065071628,0.0170466950014754,17,0,"relative convergence (4)",0.0789833333333332,FALSE
"5","5",45642.2120615485,0.0201820825378827,86,0,"relative convergence (4)",0.0958500000000001,FALSE
"6","6",45467.247484338,0.0290619198638957,151,0,"relative convergence (4)",0.185733333333333,FALSE
"7","7",45467.2474840834,0.0112788275950297,151,0,"relative convergence (4)",0.0808833333333332,FALSE
"8","8",45405.1358400985,0.134987582706781,152,0,"relative convergence (4)",0.16605,FALSE
"9","9",45404.9893371934,0.0212524063108784,153,0,"relative convergence (4)",0.150416666666667,FALSE
"10","RE",NA,NA,NA,NA,NA,NA,NA
