"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2174.6257039301,0.00538048478312189,14,0,"relative convergence (4)",0.03835
"2","2",2163.58628183772,0.0143450917323449,24,0,"relative convergence (4)",0.0162
"3","3",1822.08474076499,0.0109852390257288,92,0,"relative convergence (4)",0.0185666666666667
"4","4",1410.27057648315,0.00237534768501746,245,0,"relative convergence (4)",0.0257833333333333
"5","5",1404.05235167083,0.00503071909764685,248,0,"relative convergence (4)",0.0257166666666667
"6","6",1358.05160957671,0.00874466518508132,252,0,"relative convergence (4)",0.0337166666666667
"7","7",1353.35575078467,0.0240715817601167,255,0,"relative convergence (4)",0.0291333333333333
"8","8",1306.24255789797,0.00798596734914803,258,0,"relative convergence (4)",0.03115
"9","9",1279.81543308278,0.00394683432644527,262,0,"relative convergence (4)",0.0306333333333333
"10","10",1278.76029971868,0.0154255804884009,266,0,"relative convergence (4)",0.0291333333333333
"11","RE",NA,NA,NA,NA,NA,NA
